"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"990",1989,109,6.4,22.1,36339,"R"
"991",1973,106,7.2,22.02,14723,"PG"
"992",1974,93,7,22,33370,"R"
"993",2019,120,5.2,21.9,65977,"R"
"994",1991,102,6.2,21.76,15248,"R"
"995",2018,110,6.6,21.7,71830,"R"
"996",2003,110,4.6,21.7,12334,"PG-13"
"997",1979,89,6.7,21.67,4718,"PG"
"998",1990,120,5.9,21.63,24200,"R"
"999",1996,95,5.6,21.6,23069,"PG-13"
"1000",2000,118,2.5,21.47,74045,"PG-13"
"1001",2011,89,4.9,21.43,56081,"PG-13"
"1002",1990,104,6.5,21.41,16567,"R"
"1003",1990,119,6.9,21.41,18484,"PG-13"
"1004",2011,88,5.4,21.38,20239,"PG"
"1005",2010,92,4.4,21.37,84782,"PG-13"
"1006",2019,111,6.4,21.36,35547,"R"
"1007",2006,97,5.9,21.32,9114,"R"
"1008",2011,113,5.2,21.3,92537,"R"
"1009",1985,80,6.4,21.29,28793,"PG"
"1010",2016,98,5.7,21.22,71143,"R"
"1011",2004,84,4.1,21.22,26307,"PG-13"
"1012",1996,84,5.8,21.16,33821,"R"
"1013",2010,133,7.4,21.15,173530,"PG-13"
"1014",1992,102,5.9,21.14,9444,"PG-13"
"1015",1982,90,6,21.13,2893,"R"
"1016",1995,92,6.7,21.09,20173,"R"
"1017",1991,108,5.9,21.08,8279,"PG-13"
"1018",2004,113,6.1,21.01,50414,"PG-13"
"1019",1974,125,6.8,20.97,89600,"PG"
"1020",2018,89,4.9,20.87,7657,"R"
"1021",2009,91,5.2,20.82,98520,"PG"
"1022",2016,139,6.9,20.76,47427,"R"
"1023",2017,95,5.6,20.76,27106,"R"
"1024",2018,91,5.4,20.71,21421,"R"
"1025",1986,109,6.7,20.6,16496,"R"
"1026",2016,100,6.3,20.57,43354,"R"
"1027",2019,117,5.7,20.55,51205,"PG-13"
"1028",1996,107,5.7,20.55,46378,"PG-13"
"1029",2018,116,5.1,20.55,5457,"R"
"1030",2009,95,5.8,20.49,126802,"R"
"1031",2003,98,5.7,20.44,15814,"PG-13"
"1032",2011,110,5.7,20.38,100065,"PG-13"
"1033",1995,111,5.8,20.35,30725,"R"
"1034",1985,101,6.1,20.35,6392,"R"
"1035",2014,90,5.7,20.29,38405,"PG-13"
"1036",1994,102,6,20.28,7430,"PG-13"
"1037",2012,91,6.5,20.28,106916,"PG-13"
"1038",1988,96,5.4,20.26,9539,"R"
"1039",1998,108,6.2,20.24,50336,"R"
"1040",2008,115,6.7,20.21,56693,"R"
"1041",2017,167,8.2,20.19,69137,"Not Rated"
"1042",1979,90,5.1,20.17,3138,"PG"
"1043",2013,100,6.5,20.16,101523,"R"
"1044",1992,95,7.1,20.15,22162,"R"
"1045",1996,91,5.4,20.1,18037,"R"
"1046",1989,113,6.5,20.05,5853,"R"
"1047",1988,97,6,20.04,15561,"R"
"1048",2005,109,6.3,19.98,71708,"R"
"1049",1983,100,5.9,19.91,7960,"R"
"1050",1998,97,5.9,19.82,31035,"R"
"1051",2008,103,4.8,19.78,58458,"PG-13"
"1052",2004,90,4.9,19.76,7614,"PG"
"1053",1987,109,6.3,19.73,8439,"R"
