"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"569",1999,99,5,14.01,25355,"R"
"570",1988,105,5.3,13.85,24092,"Approved"
"571",1994,99,4.5,13.83,19115,"PG-13"
"572",2010,111,6.3,13.79,97847,"R"
"573",1982,109,8.1,13.78,346603,"R"
"574",1984,124,4.4,13.6,17589,"PG"
"575",2001,95,6.3,13.6,30701,"PG"
"576",2012,95,7.1,13.41,240609,"R"
"577",1986,86,6.1,13.17,29568,"PG-13"
"578",2001,91,4.4,13.12,48092,"R"
"579",1988,94,7.3,13.01,101563,"R"
"580",1985,108,7,13,28821,"PG"
"581",1993,87,5.2,12.97,3841,"R"
"582",2000,87,4.6,12.8,18768,"R"
"583",2008,85,5.7,12.7,2471,"G"
"584",2018,104,5.7,12.7,25161,"PG-13"
"585",1999,100,3.6,12.61,4934,"PG-13"
"586",1996,99,6.1,12.49,10728,"R"
"587",1981,96,7.6,12.47,158959,"R"
"588",1997,106,7.8,12.34,268416,"PG-13"
"589",1971,98,6.3,12.3,30359,"G"
"590",2015,93,5.1,12.28,35410,"R"
"591",2015,117,6.5,12.28,84502,"PG-13"
"592",1979,89,6.8,11.99,29793,"R"
"593",2018,100,7.5,11.98,125730,"R"
"594",2008,90,5,11.8,36963,"PG"
"595",2006,83,4.3,11.63,17902,"PG"
"596",1985,101,6.1,11.6,20874,"R"
"597",1999,100,4.3,11.58,15829,"PG-13"
"598",1984,99,6.3,11.48,13010,"PG-13"
"599",1997,93,4.8,11.44,30031,"R"
"600",2002,73,6.5,11.41,8934,"PG"
"601",1998,106,6.1,11.2,31822,"R"
"602",1971,89,5.9,11.12,1806,"G"
"603",1967,114,6.2,11,4906,"Unrated"
"604",1959,134,7.2,11,11277,"Approved"
"605",2006,104,6.3,11,21599,"PG"
"606",2008,105,6,10.96,70338,"R"
"607",2004,109,5.3,10.94,12940,"Not Rated"
"608",1990,82,5.6,10.9,4437,"G"
"609",1993,104,4.1,10.7,43846,"PG-13"
"610",1999,109,5.4,10.67,51375,"R"
"611",1982,103,5.5,10.49,4667,"R"
"612",1999,83,4.2,10.43,27006,"R"
"613",2009,108,6.7,10.33,139343,"R"
"614",1989,86,5.1,10.17,27722,"R"
"615",1999,91,3.9,10.16,9233,"PG-13"
"616",2006,97,7.2,10.14,220440,"PG-13"
"617",1982,82,7.6,10.14,34402,"G"
"618",1983,93,6.4,10.1,23052,"R"
"619",1999,99,6.1,10.04,7071,"PG"
"620",1959,129,7,10,14566,"G"
"621",1933,100,7.9,10,75646,"Passed"
"622",1985,132,7.9,9.93,179681,"R"
"623",1985,109,6.6,9.87,18618,"PG"
"624",1972,88,6.1,9.81,28755,"PG"
"625",1987,97,7,9.75,16014,"R"
"626",1986,107,5.7,9.7,12477,"PG"
"627",2002,117,6.1,9.68,57254,"PG-13"
