"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"1222",1995,124,5.9,67.05,9015,"R"
"1223",1987,111,6.5,67,27906,"PG-13"
"1224",2000,100,4.9,66.96,33004,"G"
"1225",2014,81,6.2,66.95,38616,"PG"
"1226",2003,89,4.4,66.93,27932,"Approved"
"1227",1999,122,5.8,66.89,102442,"R"
"1228",2002,98,6.4,66.82,64633,"R"
"1229",2001,123,6.1,66.81,99521,"R"
"1230",1989,100,7,66.76,79817,"PG"
"1231",1990,162,7.6,66.67,337055,"R"
"1232",2007,102,7,66.66,104650,"R"
"1233",2004,91,5.8,66.64,62535,"PG-13"
"1234",1994,133,7.6,66.64,138726,"R"
"1235",1995,91,6.7,66.6,111925,"G"
"1236",2012,109,6.5,66.53,113262,"R"
"1237",1999,118,6.7,66.52,146678,"R"
"1238",2012,113,7.4,66.49,513674,"R"
"1239",2009,82,5.2,66.48,92205,"R"
"1240",2003,110,5.8,66.47,160921,"PG-13"
"1241",2000,136,7.3,66.4,80159,"PG-13"
"1242",1999,97,6.4,66.38,63994,"PG-13"
"1243",2013,98,6.9,66.38,212477,"PG-13"
"1244",1998,128,6.5,66.31,112803,"PG"
"1245",2003,125,8,66.26,398545,"PG-13"
"1246",2004,137,8,66.21,644972,"R"
"1247",2016,120,5.7,66.18,100695,"PG-13"
"1248",1980,100,5.3,66.13,14041,"PG"
"1249",2005,101,4.8,66.02,43305,"G"
"1250",2015,115,5.6,66.01,49777,"R"
"1251",2004,129,6.6,65.96,99297,"R"
"1252",1997,89,4.8,65.89,90487,"PG-13"
"1253",2019,113,5.8,65.85,122955,"PG-13"
"1254",1995,119,6.9,65.81,222096,"R"
"1255",1998,121,7,65.71,66409,"PG-13"
"1256",1987,117,6.6,65.67,22192,"R"
"1257",2003,117,5.5,65.66,125319,"PG-13"
"1258",2012,114,4.9,65.65,9743,"PG-13"
"1259",1999,88,5.7,65.54,68157,"R"
"1260",2009,106,6.4,65.45,178421,"R"
"1261",2012,131,5.8,65.42,229143,"PG-13"
"1262",2006,104,6.5,65.33,106712,"PG-13"
"1263",2008,74,2.3,65.28,8398,"G"
"1264",2005,90,6,65.23,101571,"R"
"1265",1987,109,7.6,65.21,225851,"R"
"1266",2015,94,6.2,65.21,106560,"PG-13"
"1267",2013,114,6.2,65.19,126764,"PG-13"
"1268",2014,106,5.8,65.18,19016,"PG-13"
"1269",2004,106,5.7,65.11,13734,"PG-13"
"1270",2016,129,6.5,65.08,228718,"PG-13"
"1271",2002,125,7.1,65.02,119217,"R"
"1272",2014,150,6,65.01,154191,"PG-13"
"1273",1994,125,6.2,65.01,50437,"R"
"1274",2009,97,5.5,65,92210,"R"
"1275",2012,112,7.2,65,264051,"PG-13"
"1276",1995,114,6.8,65,49406,"PG-13"
"1277",2002,77,5.4,64.96,47506,"PG"
"1278",2012,106,5.6,64.94,81032,"PG"
"1279",1983,93,4.7,64.89,13753,"PG"
"1280",1983,91,6.5,64.8,19961,"PG"
"1281",2006,85,6.6,64.67,106665,"PG"
"1282",1997,138,8.2,64.62,507546,"R"
"1283",2012,84,7,64.58,233347,"PG-13"
"1284",2017,100,7.2,64.51,60028,"PG"
"1285",2008,91,5,64.51,189681,"R"
"1286",2013,85,5.7,64.47,191090,"R"
"1287",2015,101,6.6,64.46,68337,"R"
"1288",1989,107,7.5,64.43,102840,"PG"
"1289",2004,135,7.5,64.38,44767,"PG"
"1290",2002,87,6.6,64.26,78305,"R"
"1291",2014,85,5.7,64.25,25317,"PG"
"1292",2001,87,5.5,64.19,20994,"PG-13"
"1293",2009,102,6.3,64.17,171716,"PG-13"
"1294",2016,94,5.7,64.06,51957,"PG"
"1295",2006,126,7,64.04,282498,"PG-13"
"1296",2011,100,5.9,64.01,39698,"PG"
"1297",2010,94,6.2,64,40025,"PG"
"1298",1988,113,6.8,64,49163,"R"
"1299",2005,100,6.2,63.95,74613,"PG"
"1300",2013,105,6.6,63.91,123911,"PG-13"
"1301",1992,156,8,63.9,242193,"R"
"1302",2003,117,6.5,63.86,74352,"PG-13"
"1303",2017,123,7.3,63.86,336512,"R"
"1304",1997,90,6.4,63.86,37118,"PG-13"
"1305",1999,108,6.8,63.84,42994,"R"
"1306",1987,118,6.5,63.77,58413,"R"
"1307",1946,94,7.1,63.72,10532,"Approved"
"1308",1991,99,7,63.71,59524,"PG"
"1309",2011,113,6.8,63.69,239791,"PG-13"
"1310",1965,130,7,63.6,98699,"PG"
"1311",1997,126,7.7,63.54,414832,"PG-13"
"1312",2012,100,6.3,63.54,39390,"PG-13"
"1313",1983,99,6.8,63.5,76116,"R"
"1314",1988,108,7.5,63.49,125713,"R"
"1315",1981,83,7.3,63.46,80035,"G"
"1316",2006,132,6,63.45,105824,"R"
"1317",2009,107,7.1,63.41,135610,"PG-13"
"1318",1989,104,6.4,63.41,91615,"R"
"1319",1999,95,5.9,63.37,80466,"PG-13"
"1320",2007,93,5.9,63.3,134531,"R"
"1321",1993,110,6.8,63.27,46907,"PG-13"
"1322",2006,107,5.2,63.26,10281,"PG-13"
